in-region wejscie_1
move-to-region wejscie_1 p_2_3
move-to-region p_2_3 p_2_4
move-to-region p_2_4 p_2_5
move-to-region p_2_5 p_1_5
take-to-backpack p_1_5 gumka_recepturka
move-to-region p_1_5 p_1_6
move-to-region p_1_6 p_1_7
move-to-region p_1_7 p_1_8
move-to-region p_1_8 p_1_9
move-to-region p_1_9 p_1_10
move-to-region p_1_10 p_1_11
move-to-region p_1_11 p_1_12
take-to-backpack p_1_12 pomarancza_luz
move-to-region p_1_12 p_1_13
move-to-region p_1_13 p_1_14
move-to-region p_1_14 p_1_15
move-to-region p_1_15 p_2_15
move-to-region p_2_15 p_3_15
move-to-region p_3_15 p_4_15
move-to-region p_4_15 p_5_15
move-to-region p_5_15 p_5_16
move-to-region p_5_16 p_5_17
move-to-region p_5_17 p_5_18
take-to-backpack p_5_18 komputer_lenovo
move-to-region p_5_18 p_6_18
move-to-region p_6_18 p_6_19
move-to-region p_6_19 p_6_20
take-to-backpack p_6_20 coca_cola_1
move-to-region p_6_20 p_6_21
move-to-region p_6_21 p_6_22
move-to-region p_6_22 p_6_23
move-to-region p_6_23 p_6_24
move-to-region p_6_24 p_6_25
move-to-region p_6_25 p_6_26
move-to-region p_6_26 p_6_27
move-to-region p_6_27 p_7_27
move-to-region p_7_27 p_8_27
move-to-region p_8_27 p_8_28
move-to-region p_8_28 p_8_29
move-to-region p_8_29 p_8_30
take-to-backpack p_8_30 coca_cola_2l
move-to-region p_8_30 p_8_29
move-to-region p_8_29 p_9_29
move-to-region p_9_29 p_9_28
move-to-region p_9_28 p_9_27
move-to-region p_9_27 p_9_26
move-to-region p_9_26 p_9_25
move-to-region p_9_25 p_9_24
move-to-region p_9_24 p_9_23
move-to-region p_9_23 p_9_22
move-to-region p_9_22 p_9_21
move-to-region p_9_21 p_9_20
move-to-region p_9_20 p_9_19
move-to-region p_9_19 p_9_18
move-to-region p_9_18 p_9_17
move-to-region p_9_17 p_9_16
move-to-region p_9_16 p_9_15
move-to-region p_9_15 p_9_14
move-to-region p_9_14 p_9_13
move-to-region p_9_13 p_9_12
move-to-region p_9_12 p_9_11
move-to-region p_9_11 p_9_10
move-to-region p_9_10 p_9_9
take-to-backpack p_9_9 coca_cola_1l
move-to-region p_9_9 p_9_8
move-to-region p_9_8 p_9_7
move-to-region p_9_7 p_9_6
move-to-region p_9_6 p_9_5
move-to-region p_9_5 p_9_4
move-to-region p_9_4 p_9_3
move-to-region p_9_3 p_10_3
move-to-region p_10_3 p_10_2
move-to-region p_10_2 kasa_3
zaplac kasa_3
